NumMol,RefSite_dif,LAT,LON
79,1110,50.484284,4.986881
152,1110,50.484284,4.986881
165,1110,50.484284,4.986881
201,1110,50.484284,4.986881
201,1110,50.484284,4.986881
215,1110,50.484284,4.986881
215,1110,50.484284,4.986881
305,1110,50.484284,4.986881
319,1110,50.484284,4.986881
325,1110,50.484284,4.986881
325,1110,50.484284,4.986881
331,1110,50.484284,4.986881
333,1110,50.484284,4.986881
1019,1110,50.484284,4.986881
1039,1110,50.484284,4.986881
1039,1110,50.484284,4.986881
1039,1110,50.484284,4.986881
1187,1110,50.484284,4.986881
1187,1110,50.484284,4.986881
1296,1110,50.484284,4.986881
2010,1110,50.484284,4.986881
2037,1110,50.484284,4.986881
2037,1110,50.484284,4.986881
3029,1110,50.484284,4.986881
8182,1110,50.484284,4.986881
8182,1110,50.484284,4.986881
8182,1110,50.484284,4.986881
57,1111,50.43109,7.40425
112,1111,50.43109,7.40425
115,1111,50.43109,7.40425
112,1112,50.440480,7.397714
125,1113,50.433990,7.397193
65,1114,50.43109,7.40425
139,1114,50.43109,7.40425
152,1114,50.43109,7.40425
168,1114,50.43109,7.40425
172,1114,50.43109,7.40425
333,1114,50.43109,7.40425
28,1115,47.470387,-0.559808
92,1115,47.470387,-0.559808
106,1115,47.470387,-0.559808
117,1115,47.470387,-0.559808
131,1115,47.470387,-0.559808
131,1115,47.470387,-0.559808
154,1115,47.470387,-0.559808
158,1115,47.470387,-0.559808
175,1115,47.470387,-0.559808
178,1115,47.470387,-0.559808
179,1115,47.470387,-0.559808
215,1115,47.470387,-0.559808
252,1115,47.470387,-0.559808
269,1115,47.470387,-0.559808
1143,1115,47.470387,-0.559808
1143,1115,47.470387,-0.559808
1185,1115,47.470387,-0.559808
1185,1115,47.470387,-0.559808
1244,1115,47.470387,-0.559808
1351,1115,47.470387,-0.559808
3016,1115,47.470387,-0.559808
94,1116,47.469029,-0.554387
67,1117,47.469392,-0.556145
178,1118,47.72924,3.96028
263,1118,47.72924,3.96028
1068,1119,48.92669,2.71959
1415,1119,48.92669,2.71959
165,1120,50.24018,4.76197
176,1120,50.24018,4.76197
334,1120,50.24018,4.76197
1210,1120,50.24018,4.76197
1353,1120,50.24018,4.76197
3091,1120,50.24018,4.76197
20000,1120,50.24018,4.76197
26,1121,47.515450,9.437185
38,1121,47.515450,9.437185
333,1121,47.515450,9.437185
1019,1121,47.515450,9.437185
1019,1121,47.515450,9.437185
1035,1121,47.515450,9.437185
3197,1121,47.515450,9.437185
37,1122,49.25238,3.46417
9,1123,49.1889,5.0476
13,1123,49.1889,5.0476
26,1123,49.1889,5.0476
63,1123,49.1889,5.0476
167,1123,49.1889,5.0476
181,1123,49.1889,5.0476
181,1123,49.1889,5.0476
181,1123,49.1889,5.0476
224,1123,49.1889,5.0476
226,1123,49.1889,5.0476
257,1123,49.1889,5.0476
257,1123,49.1889,5.0476
283,1123,49.1889,5.0476
299,1123,49.1889,5.0476
299,1123,49.1889,5.0476
342,1123,49.1889,5.0476
1190,1123,49.1889,5.0476
1277,1123,49.1889,5.0476
1296,1123,49.1889,5.0476
1396,1123,49.1889,5.0476
1546,1123,49.1889,5.0476
1556,1123,49.1889,5.0476
